unicode,seal_radical,trad_radical,simp_radical
20400,,人,9.0
20401,,人,9.0
20402,人,人,9.0
20403,人,人,9.0
20404,,人,9.0
20405,人,人,9.0
20406,人,人,9.0
20407,,人,9.0
20408,人,人,9.0
20409,人,人,9.0
20410,,人,9.0
20411,,人,9.0
20412,,人,9.0
20413,,人,9.0
20414,,人,9.0
20415,人,人,9.0
20416,,人,9.0
20417,人,人,9.0
20418,人,人,9.0
20419,人,人,9.0
20420,人,人,9.0
20421,人,人,9.0
20422,人,人,9.0
20423,人,人,9.0
20424,,人,9.0
20425,,人,9.0
20426,人,人,9.0
20427,,人,9.0
20428,人,人,9.0
20429,,人,9.0
20430,且,人,9.0
20431,,人,9.0
20432,,人,9.0
20433,人,人,9.0
20434,人,人,9.0
20435,,人,9.0
20436,人,人,9.0
20437,,人,9.0
20438,,人,9.0
20439,人,人,9.0
20440,人,人,9.0
20441,人,人,9.0
20442,人,人,9.0
20443,頁,人,9.0
20444,人,人,9.0
20445,人,人,9.0
20446,舟,人,9.0
20447,人,人,9.0
20448,人,人,9.0
20449,言,人,9.0
20450,,,9.0
20451,人,人,9.0
20452,,,9.0
20453,,,9.0
20454,人,人,9.0
20455,,,9.0
20456,人,人,9.0
20457,,人,9.0
20458,人,人,9.0
20459,,人,9.0
20460,,,9.0
20461,人,人,9.0
20462,彡,人,9.0
20463,頁,人,9.0
20464,,人,9.0
20465,人,人,9.0
20466,,人,9.0
20467,人,人,9.0
20468,人,人,9.0
20469,,人,9.0
20470,人,人,9.0
20471,,人,9.0
20472,廾,人,9.0
20473,,人,9.0
20474,人,人,9.0
20475,,人,9.0
20476,,人,9.0
20477,,人,9.0
20478,人,人,9.0
20479,,人,9.0
20480,人,人,9.0
20481,,人,9.0
20482,人,人,9.0
20483,人,人,9.0
20484,人,人,9.0
20485,人,人,9.0
20486,,人,9.0
20487,,人,9.0
20488,,人,9.0
20489,倉,人,9.0
20490,,人,9.0
20491,竹,人,9.0
20492,人,人,9.0
20493,人,人,9.0
20494,,人,9.0
20495,犬,人,9.0
20496,犬,人,9.0
20497,,人,9.0
20498,人,人,9.0
20499,人,人,9.0
20500,,人,9.0
20501,,人,9.0
20502,,人,9.0
20503,人,人,9.0
20504,人,人,9.0
20505,人,人,9.0
20506,人,人,9.0
20507,,人,9.0
20508,人,人,9.0
20509,倝,人,9.0
20510,人,人,9.0
20511,人,人,9.0
20512,人,人,9.0
20513,人,人,9.0
20514,人,人,9.0
20515,放,人,9.0
20516,人,人,9.0
20517,,人,9.0
20518,人,人,9.0
20519,,人,9.0
20520,人,人,9.0
20521,人,人,9.0
20522,人,人,9.0
20523,人,人,9.0
20524,人,人,9.0
20525,人,人,9.0
20526,,人,9.0
20527,,人,9.0
20528,,人,9.0
20529,,人,9.0
20530,,人,9.0
20531,,人,9.0
20532,,人,9.0
20533,,人,9.0
20534,人,人,9.0
20535,,,9.0
20536,,目,9.0
20537,,人,9.0
20538,人,人,9.0
20539,,,9.0
20540,人,人,9.0
20541,,,9.0
20542,人,人,9.0
20543,,,9.0
20544,,人,9.0
20545,人,人,9.0
20546,,人,9.0
20547,人,人,9.0
20548,人,人,9.0
20549,,人,9.0
20550,人,人,9.0
20551,人,人,9.0
20552,,人,9.0
20553,人,人,9.0
20554,,人,9.0
20555,人,人,9.0
20556,,人,9.0
20557,,人,9.0
20558,,人,9.0
20559,人,人,9.0
20560,,人,9.0
20561,,人,9.0
20562,,人,9.0
20563,人,人,9.0
20564,,人,9.0
20565,人,人,9.0
20566,,人,9.0
20567,,人,9.0
20568,,人,9.0
20569,,人,9.0
20570,,人,9.0
20571,,人,9.0
20572,人,人,9.0
20573,,人,9.0
20574,人,人,9.0
20575,,人,9.0
20576,,人,9.0
20577,,人,9.0
20578,,人,9.0
20579,,人,9.0
20580,,人,9.0
20581,人,人,9.0
20582,,人,9.0
20583,,人,9.0
20584,,人,9.0
20585,,人,9.0
20586,,人,9.0
20587,人,人,9.0
20588,,人,9.0
20589,人,人,9.0
20590,,人,9.0
20591,,人,9.0
20592,人,人,9.0
20593,,人,9.0
20594,人,人,9.0
20595,,人,9.0
20596,人,人,9.0
20597,人,人,9.0
20598,人,人,9.0
20599,女,人,9.0
20600,,人,9.0
20601,,人,9.0
20602,,口,9.0
20603,人,人,9.0
20604,,人,9.0
20605,人,人,9.0
20606,人,人,9.0
20607,人,人,9.0
20608,人,人,9.0
20609,又,人,9.0
20610,,人,9.0
20611,,人,9.0
20612,,人,9.0
20613,人,人,9.0
20614,人,人,9.0
20615,,人,9.0
20616,,人,9.0
20617,,人,9.0
20618,,人,9.0
20619,,人,9.0
20620,,人,9.0
20621,人,人,9.0
20622,,人,9.0
20623,,人,9.0
20624,,人,9.0
20625,人,人,9.0
20626,,人,9.0
20627,人,人,9.0
20628,人,人,9.0
20629,,人,9.0
20630,,人,9.0
20631,,人,9.0
20632,,人,9.0
20633,人,人,9.0
20634,,人,9.0
20635,人,人,9.0
20636,人,人,9.0
20637,,人,9.0
20638,人,人,9.0
20639,,人,9.0
20640,,人,9.0
20641,,人,9.0
20642,,人,9.0
20643,,,9.0
20644,,,9.0
20645,人,人,9.0
20646,,,9.0
20647,人,人,9.0
20648,人,人,9.0
20649,人,人,9.0
20650,人,人,9.0
20651,,人,9.0
20652,人,人,9.0
20653,人,人,9.0
20654,人,人,9.0
20655,,人,9.0
20656,,人,9.0
20657,,人,9.0
20658,人,人,9.0
20659,人,人,9.0
20660,人,人,9.0
20661,人,人,9.0
20662,,人,9.0
20663,人,人,9.0
20664,,人,9.0
20665,,人,9.0
20666,,人,9.0
20667,,人,9.0
20668,,人,9.0
20669,,人,9.0
20670,人,人,9.0
20671,人,人,9.0
20672,,人,9.0
20673,人,人,9.0
20674,人,人,9.0
20675,人,人,9.0
20676,人,人,9.0
20677,人,人,9.0
20678,,人,9.0
20679,人,人,9.0
20680,,人,9.0
20681,亼,人,9.0
20682,人,人,9.0
20683,,人,9.0
20684,,人,9.0
20685,,,9.0
20686,人,人,9.0
20687,人,人,9.0
20688,人,人,9.0
20689,人,人,9.0
20690,,人,9.0
20691,人,人,9.0
20692,人,人,9.0
20693,菐,人,9.0
20694,人,人,9.0
20695,,人,9.0
20696,,人,9.0
20697,,人,9.0
20698,人,人,9.0
20699,人,人,9.0
20700,,人,9.0
20701,,人,9.0
20702,人,人,9.0
20703,人,人,9.0
20704,,人,9.0
20705,,人,9.0
20706,,人,9.0
20707,人,人,9.0
20708,人,人,9.0
20709,人,人,9.0
20710,人,人,9.0
20711,人,人,9.0
20712,人,人,9.0
20713,人,人,9.0
20714,,人,9.0
20715,,人,9.0
20716,,人,9.0
20717,人,人,9.0
20718,人,人,9.0
20719,辵,人,9.0
20720,人,人,9.0
20721,,隹,9.0
20722,,人,9.0
20723,,,9.0
20724,人,人,9.0
20725,人,人,9.0
20726,,人,9.0
20727,人,人,9.0
20728,,人,9.0
20729,人,人,9.0
20730,,人,9.0
20731,人,人,9.0
20732,,人,9.0
20733,,人,9.0
20734,人,人,9.0
20735,,人,9.0
20736,人,人,9.0
20737,,人,9.0
20738,,人,9.0
20739,人,人,9.0
20740,人,人,9.0
20741,,人,9.0
20742,人,人,9.0
20743,人,人,9.0
20744,人,人,9.0
20745,人,人,9.0
20746,,人,9.0
20747,人,人,9.0
20748,彳,人,9.0
20749,,人,9.0
20750,,,9.0
20751,,,9.0
20752,人,人,9.0
20753,,人,9.0
20754,人,人,9.0
20755,,人,9.0
20756,人,人,9.0
20757,人,人,9.0
20758,,人,9.0
20759,人,人,9.0
20760,,人,9.0
20761,,人,9.0
20762,,人,9.0
20763,,人,9.0
20764,,人,9.0
20765,,人,9.0
20766,,,9.0
20767,人,人,9.0
20768,人,人,9.0
20769,人,人,9.0
20770,,人,9.0
20771,,人,9.0
20772,,人,9.0
20773,人,人,9.0
20774,人,人,9.0
20775,人,人,9.0
20776,,人,9.0
20777,,人,9.0
20778,人,人,9.0
20779,,人,9.0
20780,,人,9.0
20781,,人,9.0
20782,,人,9.0
20783,,人,9.0
20784,,人,9.0
20785,,人,9.0
20786,人,人,9.0
20787,人,人,9.0
20788,,人,9.0
20789,黑,人,9.0
20790,,人,9.0
20791,人,人,9.0
20792,,人,9.0
20793,人,人,9.0
20794,人,人,9.0
20795,人,人,9.0
20796,人,人,9.0
20797,人,人,9.0
20798,,人,9.0
20799,儿,儿,10.0
20800,儿,儿,10.0
20801,儿,儿,10.0
20802,兂,儿,10.0
20803,一,儿,10.0
20804,兄,儿,10.0
20805,儿,儿,10.0
20806,卜,儿,10.0
20807,凶,儿,10.0
20808,先,儿,10.0
20809,火,儿,10.0
20810,儿,儿,10.0
20811,克,儿,10.0
20812,儿,儿,10.0
20813,兔,儿,10.0
20814,,儿,10.0
20815,,儿,10.0
20816,,儿,10.0
20817,儿,儿,10.0
20818,儿,儿,10.0
20819,兂,儿,10.0
20820,兔,儿,10.0
20821,兕,儿,10.0
20822,口,儿,10.0
20823,口,儿,10.0
20824,,儿,10.0
20825,,,10.0
20826,黑,儿,10.0
20827,,,10.0
20828,𠑹,儿,10.0
20829,,,10.0
20830,,,10.0
20831,先,儿,10.0
20832,𠑹,儿,10.0
20833,,,10.0
20834,兄,儿,10.0
20835,,,10.0
20836,,儿,10.0
20837,入,入,11.0
20838,亡,入,11.0
20839,入,入,11.0
20840,入,入,11.0
20841,㒳,入,11.0
20842,舟,入,11.0
20843,八,八,12.0
20844,八,八,12.0
20845,六,八,12.0
20846,兮,八,12.0
