codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
22774,壶,ɦ,u̯o,³³,,,,x,u,2,w,u:,,˩˨
22775,壷,,,,,,,x,u,2,,,,
22776,壸,,,,,,,kʰ,,3,kʰw,ɐ,n,˧˥
22777,壹,ʔ,it̲̲,³,ql,i,ɡ,,i,1,j,ɐ,t,˥
22778,壺,ɦ,u̯o,³³,ɡʷ,a,̠,x,u,2,w,u:,,˩˨
22779,壻,s,ei,³¹,sŋ,e,̠s,ɕ,y,4,s,ɐi,,˧
22780,壼,kʰʷɰ,in,³¹,kh,u,̠nʔ,kʰ,,3,kʰw,ɐ,n,˧˥
22781,壽,dʑ,ɨu,³⁵,ɡlj,u,ʔ,ʂ,oʊ,4,s,ɐu,,˨
22782,壾,m,ɑŋ,³⁵,,,,m,ɑŋ,3,,,,
22783,壿,tsʰʷ,in,³³,,,,ts,,1,tsʰ,y:,n,˥
22784,夀,d,ɑu,³³,,,,ʂ,oʊ,4,s,ɐu,,˨
22785,夁,,,,,,,,i,1,,,,
22786,夂,ʈ,i,³⁵,t,i,lʔ,ʈʂ,i,3,k,ɐu,,˧˥
22787,夃,k,u̯o,³³,k,a,̠ʔ,k,u,3,,,,
22788,处,tɕʰj,ɤ,³⁵,,,,ʈʂʰ,u,4,s,y:,,˧
22789,夅,ɦ,u̯oŋ,³³,ɡr,o,̠m,tɕ,jɑŋ,4,,,,
22790,夆,bj,ʊŋ,³³,ph,o,ŋ,f,ɤŋ,2,f,ʊ,ŋ,˥
22791,备,bɰ,i,³¹,,,,p,ei,4,p,ei,,˨
22792,夈,,,,,,,ʈʂ,ai,1,,,,
22793,変,,,,,,,p,jɛn,4,,,,
22794,夊,sʷ,i,³³,,,,s,,1,s,ɵy,,˥
22795,夋,tsʰʷ,in,³³,skh,u,n,tɕʰ,yn,1,,,,
22796,夌,l,ɨŋ,³³,b,ə,r,l,iŋ,2,l,ɪ,ŋ,˩˨
22797,复,pj,uk̲̲,³,b,u,ɡ,f,u,4,f,ɐu,,˨
22798,夎,dʐɰæ,,³¹,s,o,̠ls,tsʰ,uɔ,4,,,,
22799,夏,ɦɰæ,,³⁵,ɡr,a,̠s,ɕ,ja,4,h,a:,,˨
22800,夐,hʷj,ɤn,³⁵,qhʷ,e,̠ns,ɕ,jʊŋ,4,h,ɪ,ŋ,˧
22801,夑,,,,,,,ɕ,je,4,,,,
22802,夒,n,u̯oŋ,³³,n,u,̠w,n,ɑʊ,2,n,a:u,,˩˨
22803,夓,,,,,,,ɕ,ja,4,,,,
22804,夔,ɡʷɰ,i,³³,ɡr,u,l,kʰ,,2,kʰw,ɐi,,˩˨
22805,夕,z,iᴇk̲̲,³,sɢl,a,ɡ,ɕ,i,1,ts,ɪ,k,˨
22806,外,ŋʷ,ɑi,³¹,ŋʷ,a,̠ds,,wai,4,ŋ,ɔ:i,,˨
22807,夗,ʔʷj,ɤn,³⁵,q,o,nʔ,,yan,4,j,y:,n,˧˥
22808,夘,ts,ei,³⁵,,,,m,ɑʊ,3,,,,
22809,夙,sj,uk̲̲,³,sl,u,ɡ,s,u,4,s,ʊ,k,˥
22810,多,t,ɑ,³³,k‧l,a,̠l,t,uɔ,1,t,ɔ:,,˥
22811,夛,,,,,,,t,uɔ,1,,,,
22812,夜,j,iᴇk̲̲,³,l,a,ɡs,,je,4,j,ɛ:,,˨
22813,夝,dz,iᴇŋ,³³,z,e,ŋ,tɕʰ,iŋ,2,,,,
22814,夞,,,,,,,,wai,4,,,,
22815,够,k,u,³¹,,,,k,oʊ,4,k,ɐu,,˧
22816,夠,k,u,³¹,k,o,̠s,k,oʊ,4,k,ɐu,,˧
22817,夡,kʰ,i,³¹,,,,tɕʰ,i,4,,,,
22818,夢,mj,uŋ,³¹,m,ɯ,ŋ,m,ɤŋ,4,m,ʊ,ŋ,˨
22819,夣,,,,,,,m,ɤŋ,4,,,,
22820,夤,j,in,³³,l,i,n,,in,2,j,ɐ,n,˩˨
22821,夥,ɦʷ,ɑ,³⁵,ɡr,o,̠lʔ,x,uɔ,3,f,ɔ:,,˧˥
22822,夦,ʈʰ,im,³⁵,,,,ʈʂʰ,ən,3,,,,
22823,大,tʰ,ɑi,³¹,d,a,̠ds,t,a,4,t,a:i,,˨
22824,夨,tʂ,ɨk̲̲,³,sr,ɯ,ɡ,ts,ɤ,4,,,,
22825,天,tʰ,in,³³,l̥,i,̠n,tʰ,jɛn,1,tʰ,i:,n,˥
22826,太,tʰ,ɑi,³¹,th,a,̠ds,tʰ,ai,4,tʰ,a:i,,˧
22827,夫,bj,ʊ,³³,p,a,,f,u,1,f,u:,,˥
22828,夬,kʷ,et̲̲,³,kʷr,a,̠ds,k,wai,4,kw,a:i,,˧˥
22829,夭,ʔɰ,iᴇu,³³,q,o,̠wʔ,,jɑʊ,1,j,i:u,,˥
22830,央,ʔj,aŋ,³³,q,a,ŋ,,jɑŋ,1,j,œ:,ŋ,˥
22831,夯,,,,,,,x,ɑŋ,1,h,a:,ŋ,˥
22832,夰,ɦ,ɑu,³⁵,k,u,̠ʔ,k,ɑʊ,3,,,,
22833,失,ɕ,it̲̲,³,l̥,i,ɡ,ʂ,i,1,s,ɐ,t,˥
22834,夲,tʰ,ɑu,³³,th,u,̠,tʰ,ɑʊ,1,,,,
22835,夳,tʰ,ɑi,³¹,,,,tʰ,ai,4,,,,
22836,头,d,u,³³,,,,tʰ,oʊ,2,tʰ,ɐu,,˧˥
22837,夵,tʰ,ɑu,³³,,,,,jɛn,3,,,,
22838,夶,p,i,³⁵,,,,p,i,3,,,,
22839,夷,j,i,³³,l,i,,,i,2,j,i:,,˩˨
22840,夸,kʰʷɰæ,,³⁵,khʷr,a,̠,kʰ,wa,1,kʰw,a:,,˥
22841,夹,kɰ,ɛp̲̲,³,,,,tɕ,ja,1,k,a:,p,˧
22842,夺,dʷ,ɑt̲̲,³,,,,t,uɔ,2,t,y:,t,˨
22843,夻,,,,,,,x,wa,4,,,,
22844,夼,,,,,,,kʰ,wɑŋ,3,kʰ,ɔ:,ŋ,˧
22845,夽,ŋ,ɨn,³⁵,ŋɡʷ,ɯ,nʔ,,yn,3,,,,
22846,夾,ɕ,iᴇk̲̲,³,kr,e,̠b,tɕ,ja,1,k,a:,p,˧
22847,夿,pʰɰæ,,³³,,,,p,a,1,,,,
22848,奀,,,,,,,,ən,1,ŋ,ɐ,n,˥
22849,奁,,,,,,,l,jɛn,2,l,i:,m,˩˨
22850,奂,hʷ,ɑn,³¹,qh,o,̠ns,x,wan,4,w,u:,n,˨
22851,奃,t,ei,³³,t,i,̠l,t,i,1,,,,
22852,奄,ʔɰ,iᴇm,³¹,qr,o,mʔ,,jɛn,3,j,i:,m,˥
22853,奅,pʰɰæ,u,³¹,phr,u,̠s,pʰ,ɑʊ,4,pʰ,a:u,,˧
22854,奆,,,,,,,tɕ,yan,4,,,,
22855,奇,ɡɰ,iᴇ,³³,kr,a,l,tɕʰ,i,2,kʰ,ei,,˩˨
22856,奈,n,ɑi,³¹,n,a,̠ls,n,ai,4,n,ɔ:i,,˨
22857,奉,bj,ʊŋ,³⁵,b,o,ŋʔ,f,ɤŋ,4,f,ʊ,ŋ,˨
22858,奊,l,et̲̲,³,ɡ,i,̠ɡ,ɕ,je,2,,,,
22859,奋,pj,un,³¹,,,,f,ən,4,f,ɐ,n,˩˧
22860,奌,,,,,,,t,jɛn,3,,,,
22861,奍,,,,,,,tɕʰ,yan,1,,,,
22862,奎,kʰʷ,iᴇ,³⁵,khʷ,e,̠,kʰ,,2,f,u:i,,˥
22863,奏,tsʰ,u,³¹,s,o,̠s,ts,oʊ,4,ts,ɐu,,˧
22864,奐,hʷ,ɑn,³¹,qh,o,̠ns,x,wan,4,w,u:,n,˨
22865,契,k,ei,³¹,kh,ɯ,d,tɕʰ,i,4,kʰ,ɐi,,˧
22866,奒,kʰ,əi,³³,kh,ɯ,̠,kʰ,ai,1,,,,
22867,奓,tɕʰ,iᴇ,³⁵,k‧r,a,̠ls,ʈʂ,a,1,tsʰ,i:,,˧˥
22868,奔,pj,un,³¹,p,ɯ,̠ns,p,ən,1,p,ɐ,n,˥
22869,奕,j,iᴇk̲̲,³,l,a,ɡ,,i,4,j,ɪ,k,˨
22870,奖,,,,,,,tɕ,jɑŋ,3,ts,œ:,ŋ,˧˥
22871,套,tʰ,ɑu,³⁵,,,,tʰ,ɑʊ,4,tʰ,ou,,˧
22872,奘,dz,ɑŋ,³¹,sɡ,a,̠ŋʔ,ts,ɑŋ,4,ts,ɔ:,ŋ,˥
22873,奙,,,,,,,p,ən,3,,,,
22874,奚,ɦ,ei,³³,ɡ,e,̠,ɕ,i,1,h,ɐi,,˩˨
22875,奛,,,,,,,x,wɑŋ,3,,,,
22876,奜,pʷ,ɨi,³³,,,,f,ei,3,,,,
22877,奝,t,eu,³³,,,,t,jɑʊ,1,,,,
22878,奞,sʷ,in,³⁵,sl,ɯ,ns,ɕ,yn,4,,,,
22879,奟,pɰæŋ,,³³,,,,p,ɤŋ,1,,,,
22880,奠,d,eŋ,³¹,d,i,̠ŋs,t,jɛn,4,t,i:,n,˨
22881,奡,ŋ,ɑu,³¹,ŋ,a,̠ws,,ɑʊ,4,ŋ,ou,,˨
22882,奢,ɕjæ,,³³,qhlj,a,̠,ʂ,ɤ,1,tsʰ,ɛ:,,˥
22883,奣,kʰʷɰæŋ,,³⁵,,,,,,3,,,,
22884,奤,pʰʷ,ɑn,³⁵,,,,x,a,3,,,,
22885,奥,ʔj,uk̲̲,³,q,u,̠ɡs,,ɑʊ,4,,ou,,˧
22886,奦,,,,,,,,u,4,,,,
22887,奧,ʔ,ɑu,³¹,,,,,ɑʊ,4,,ou,,˧
22888,奨,tsj,aŋ,³⁵,,,,tɕ,jɑŋ,3,,,,
22889,奩,l,iᴇm,³³,ɡ,ə,r,l,jɛn,2,l,i:,m,˩˨
22890,奪,dʷ,ɑi,³¹,l,o,̠d,t,uɔ,2,t,y:,t,˨
22891,奫,ʔʷ,in,³³,,,,,yn,1,w,ɐ,n,˥
22892,奬,,,,sk,a,ŋʔ,tɕ,jɑŋ,3,ts,œ:,ŋ,˧˥
22893,奭,ɕ,iᴇk̲̲,³,qhj,a,ɡ,ʂ,i,4,s,ɪ,k,˥
22894,奮,pj,un,³¹,p,ɯ,ns,f,ən,4,f,ɐ,n,˩˧
22895,奯,hʷ,ɑt̲̲,³,qhʷ,a,̠d,x,uɔ,4,,,,
22896,奰,bɰ,i,³¹,br,i,ds,p,i,4,p,ei,,˨
22897,奱,lʷ,iᴇn,³³,ɡ,ə,r,l,wan,2,,,,
22898,奲,t,ɑ,³⁵,t,a,̠lʔ,t,uɔ,3,tsʰ,ɛ:,,˧˥
22899,女,ɳɰ,ɛ,³⁵,n,a,ʔ,n,y,3,n,ɵy,,˧˥
22900,奴,n,u̯o,³³,n,a,̠,n,u,2,n,ou,,˩˨
22901,奵,t,eŋ,³³,,,,t,iŋ,3,,,,
22902,奶,,,,,,,n,ai,3,n,a:i,,˩˧
22903,奷,tsʰ,en,³³,,,,tɕʰ,jɛn,1,,,,
22904,奸,kɰæn,,³³,k,a,̠n,tɕ,jɛn,1,k,a:,n,˥
22905,她,tsjæ,,³⁵,,,,tʰ,a,1,j,i:,,˥
22906,奺,,,,,,,tɕ,,3,,,,
22907,奻,ɳʷɰæn,,³³,rn,o,̠n,n,wan,2,,,,
22908,奼,ʈʰɰæ,,³⁵,k‧r,a,̠ɡs,ʈʂʰ,a,4,tsʰ,a:,,˧
22909,好,h,ɑu,³⁵,qh,u,̠ʔ,x,ɑʊ,3,h,ou,,˧˥
22910,奾,s,iᴇn,³³,,,,ɕ,jɛn,1,,,,
22911,奿,pʰʷj,ɤn,³¹,ph,o,ns,f,an,4,,,,
22912,妀,k,ɨ,³⁵,k,ɯ,ʔ,tɕ,i,3,,,,
22913,妁,tɕj,ak̲̲,³,plj,e,wɡ,ʂ,uɔ,4,ts,œ:,k,˧
22914,如,ȵj,ɤ,³³,nj,a,s,ʐ,u,2,j,y:,,˩˨
22915,妃,pʰʷ,ɨi,³³,ph,ɯ,l,f,ei,1,f,ei,,˥
22916,妄,mʷj,aŋ,³³,m,a,ŋs,,wɑŋ,4,m,ɔ:,ŋ,˩˧
22917,妅,ɦ,uŋ,³³,,,,x,ʊŋ,2,,,,
22918,妆,tʂj,aŋ,³³,,,,ʈʂ,wɑŋ,1,ts,ɔ:,ŋ,˥
22919,妇,b,ɨu,³⁵,,,,f,u,4,f,u:,,˩˧
22920,妈,,,,,,,m,a,1,m,a:,,˥
22921,妉,t,əm,³³,k‧l,u,̠m,t,an,1,,,,
22922,妊,ȵ,im,³³,mblj,u,ms,ʐ,ən,4,j,ɐ,m,˩˨
22923,妋,ʔ,ɨu,³³,,,,f,u,1,,,,
22924,妌,dz,iᴇŋ,³⁵,sɡ,e,ŋʔ,tɕ,iŋ,4,,,,
22925,妍,ŋ,en,³³,ŋɡ,e,̠n,,jɛn,2,j,i:,n,˩˨
22926,妎,kɰ,ɛi,³¹,ɡ,e,̠ds,x,ai,4,h,ɐi,,˨
22927,妏,mj,un,³¹,,,,,,4,,,,
22928,妐,tɕj,ʊŋ,³³,klj,o,ŋ,ʈʂ,ʊŋ,1,ts,ʊ,ŋ,˥
22929,妑,pɰæ,,³³,,,,pʰ,a,1,,,,
22930,妒,t,u̯o,³¹,k‧l,a,̠s,t,u,4,t,ou,,˧
22931,妓,kɰ,iᴇ,³³,kr,e,,tɕ,i,4,k,ei,,˨
22932,妔,ɦ,ɑŋ,³³,,,,kʰ,ɤŋ,1,,,,
22933,妕,ʈj,uŋ,³¹,,,,ʈʂ,ʊŋ,4,,,,
22934,妖,kɰæ,u,³⁵,qr,o,w,,jɑʊ,1,j,i:u,,˥
22935,妗,ɡɰ,im,³¹,qhr,ɯ,̠m,tɕ,in,4,kʰ,ɐ,m,˩˧
22936,妘,ɦʲj,un,³³,ɢʷ,ɯ,n,,yn,2,w,ɐ,n,˩˨
22937,妙,m,iᴇu,³¹,mbl,e,ws,m,jɑʊ,4,m,i:u,,˨
22938,妚,p,ɨu,³⁵,,,,f,oʊ,3,,,,
22939,妛,tɕʰ,ɨ,³³,,,,ʈʂʰ,i,1,,,,
22940,妜,ʔʷ,et̲̲,³,qʷ,e,̠d,,yɛ,4,,,,
22941,妝,tʂj,aŋ,³³,skr,a,ŋ,ʈʂ,wɑŋ,1,ts,ɔ:,ŋ,˥
22942,妞,ɳ,ɨu,³⁵,m̥hl,u,̠s,n,,1,n,ɐu,,˧˥
22943,妟,ʔ,en,³¹,qr,a,̠ns,,jɛn,4,,,,
22944,妠,ɳʷɰæt̲̲,,³,,,,n,a,4,l,a:,p,˧
22945,妡,h,ɨn,³³,,,,ɕ,in,1,,,,
22946,妢,bj,un,³³,b,ɯ,n,f,ən,2,f,ɐ,n,˩˨
22947,妣,p,i,³⁵,p,i,s,p,i,3,p,ei,,˧˥
22948,妤,j,ɤ,³³,ɢl,a,,,y,2,j,y:,,˩˨
22949,妥,tʰʷ,ɑ,³⁵,n̥,o,̠lʔ,tʰ,uɔ,3,tʰ,ɔ:,,˩˧
22950,妦,pʰj,ʊŋ,³³,ph,o,ŋ,f,ɤŋ,1,f,ʊ,ŋ,˥
22951,妧,ŋʷj,ɤn,³³,,,,,wan,4,,,,
22952,妨,pʰʷj,aŋ,³¹,ph,a,ŋs,f,ɑŋ,2,f,ɔ:,ŋ,˩˨
22953,妩,,,,,,,,u,3,m,ou,,˩˨
22954,妪,,,,,,,,y,4,j,y:,,˧˥
22955,妫,,,,,,,k,,1,kw,ɐi,,˥
22956,妬,t,u̯o,³¹,k‧l,a,̠ɡs,t,u,4,t,ou,,˧
22957,妭,pʷ,ɑt̲̲,³,b,o,̠d,p,a,2,,,,
22958,妮,ɳ,i,³³,n,i,l,n,i,1,n,ei,,˩˨
22959,妯,l,uk̲̲,³,ɡ‧l,ɯ,wɡ,ʈʂ,oʊ,2,s,ʊ,k,˨
22960,妰,ʈj,ak̲̲,³,,,,ʈʂ,uɔ,2,,,,
22961,妱,tɕ,iᴇu,³³,,,,ʈʂ,ɑʊ,1,,,,
22962,妲,,,,t,a,̠d,t,a,2,t,a:,t,˧
22963,妳,,,,,,,n,i,3,l,ei,,˩˧
22964,妴,ʔʷj,ɤn,³¹,q,o,nʔ,,yan,4,,,,
22965,妵,tʰ,u,³⁵,th,o,̠ʔ,tʰ,oʊ,3,tʰ,ɐu,,˧˥
22966,妶,ɦ,en,³³,,,,ɕ,jɛn,2,,,,
22967,妷,ɖ,it̲̲,³,,,,ʈʂ,i,2,,,,
22968,妸,h,ɑ,³³,q,a,̠lʔ,,ɤ,1,,,,
22969,妹,m,ɑi,³¹,m,ɯ,̠ds,m,ei,4,m,u:i,,˨
22970,妺,mʷ,ɑt̲̲,³,m,a,̠d,m,uɔ,4,m,u:,t,˨
22971,妻,tsʰ,i,³³,sh,i,̠l,tɕʰ,i,1,tsʰ,ɐi,,˥
22972,妼,b,it̲̲,³,,,,p,i,4,,,,
22973,妽,ɕ,in,³³,,,,ʂ,ən,1,,,,
22974,妾,tsʰ,iᴇp̲̲,³,sh,e,b,tɕʰ,je,4,tsʰ,i:,p,˧
22975,妿,ʔ,ɑ,³³,q,a,̠l,,ɤ,1,,,,
22976,姀,ɦʷ,ɑ,³³,,,,x,ɤ,2,,,,
22977,姁,hj,ʊ,³⁵,ɡ,o,,ɕ,y,3,h,ɵy,,˥
22978,姂,bj,ap̲̲,³,b,o,b,f,a,2,,,,
22979,姃,tɕ,iᴇŋ,³¹,,,,ʈʂ,ɤŋ,1,,,,
22980,姄,mɰ,in,³³,,,,m,in,2,,,,
22981,姅,pʷ,ɑn,³¹,ph,a,̠ns,p,an,4,p,u:,n,˧
22982,姆,m,u,³⁵,m,ɯ,ʔ,m,u,3,m,ou,,˩˧
22983,姇,pj,ʊ,³¹,ph,o,,f,u,1,,,,
22984,姈,l,eŋ,³³,,,,l,iŋ,2,,,,
22985,姉,,,,s,i,ʔ,ts,i,3,ts,i:,,˧˥
22986,姊,ts,i,³⁵,s,i,ʔ,ts,i,3,ts,ɛ:,,˧˥
22987,始,ɕ,ɨ,³⁵,qhlj,ɯ,ʔ,ʂ,i,3,tsʰ,i:,,˧˥
22988,姌,ȵ,iᴇm,³⁵,n,e,̠mʔ,ʐ,an,3,j,i:,m,˩˧
22989,姍,s,ɑt̲̲,³,sl,a,̠n,ʂ,an,1,s,a:,n,˥
22990,姎,ʔ,ɑŋ,³¹,q,a,̠ŋ,,jɑŋ,1,j,œ:,ŋ,˥
22991,姏,m,ɑm,³³,,,,m,an,2,m,a:,n,˩˨
22992,姐,tsjæ,,³⁵,sk,a,̠ʔ,tɕ,je,3,ts,ɛ:,,˧˥
22993,姑,k,u̯o,³³,k,a,̠,k,u,1,k,u:,,˥
22994,姒,z,ɨ,³⁵,sɢl,ɯ,ʔ,s,i,4,tsʰ,i:,,˩˧
22995,姓,ʂɰæŋ,,³³,sl,e,ŋs,ɕ,iŋ,4,s,ɛ:,ŋ,˧
22996,委,ʔʷɰ,iᴇ,³³,qr,o,lʔ,,,3,w,ɐi,,˥
22997,姕,ts,iᴇ,³³,z,e,,ts,i,1,,,,
22998,姖,,,,,,,tɕ,y,4,,,,
22999,姗,ʂɰæn,,³³,sl,a,̠n,ʂ,an,1,s,a:,n,˥
23000,姘,b,eŋ,³³,phr,e,̠ŋ,pʰ,in,1,pʰ,ɪ,ŋ,˥
23001,姙,,,,,,,ʐ,ən,4,,,,
23002,姚,j,iᴇu,³¹,l,e,w,,jɑʊ,2,j,i:u,,˩˨
23003,姛,d,uŋ,³⁵,d,o,̠ŋʔ,t,ʊŋ,4,,,,
23004,姜,kj,aŋ,³³,kl,a,ŋ,tɕ,jɑŋ,1,k,œ:,ŋ,˥
23005,姝,ʈj,ʊ,³³,thj,o,,ʂ,u,1,s,y:,,˥
23006,姞,ɡɰ,it̲̲,³,ɡr,i,d,tɕ,i,2,k,ɐ,t,˥
23007,姟,k,əi,³³,k,ɯ,̠,k,ai,1,,,,
23008,姠,ɕj,aŋ,³¹,,,,ɕ,jɑŋ,4,,,,
23009,姡,kʷ,ɑt̲̲,³,ɡr,o,̠d,x,wa,2,w,a:,t,˨
23010,姢,ʔʷ,en,³³,,,,tɕ,yan,1,,,,
23011,姣,kɰæ,u,³⁵,ɡr,e,̠w,tɕ,jɑʊ,1,h,a:u,,˩˨
23012,姤,k,u,³¹,k,o,̠s,k,oʊ,4,k,ɐu,,˧
23013,姥,m,u̯o,³⁵,,,,l,ɑʊ,3,l,ou,,˩˧
23014,姦,kɰæn,,³³,kr,a,̠n,tɕ,jɛn,1,k,a:,n,˥
23015,姧,k,ɑn,³³,,,,tɕ,jɛn,1,,,,
23016,姨,j,i,³³,l,i,,,i,2,j,i:,,˥
23017,姩,n,en,³³,,,,n,jɛn,4,n,i:,n,˥
23018,姪,d,et̲̲,³,ɡ‧l,i,̠ɡ,ʈʂ,i,2,ts,ɐ,t,˨
23019,姫,tɕ,in,³⁵,,,,tɕ,i,1,,,,
23020,姬,k,ɨ,³³,k,ɯ,,tɕ,i,1,k,ei,,˥
23021,姭,hj,am,³¹,qhl,a,ms,ɕ,jɛn,4,,,,
23022,姮,ɦ,əŋ,³³,ɡ,ɯ,̠ŋ,x,ɤŋ,2,h,ɐ,ŋ,˩˨
23023,姯,kʷ,ɑŋ,³³,,,,k,wɑŋ,1,,,,
23024,姰,sʷ,in,³³,sqhʷ,i,n,tɕ,yn,1,,,,
23025,姱,ɦ,u̯o,³⁵,khʷr,a,̠,kʰ,wa,1,kʰw,a:,,˥
23026,姲,ʔɰæn,,³¹,,,,,jɛn,4,,,,
23027,姳,m,eŋ,³⁵,,,,m,iŋ,3,,,,
23028,姴,l,iᴇt̲̲,³,,,,l,je,4,,,,
23029,姵,b,u̯oi,³¹,,,,pʰ,ei,4,,,,
23030,姶,ʔ,əp̲̲,³,q,u,̠b,,ɤ,4,,,,
23031,姷,ɦʲ,ɨu,³¹,ɢʷ,ɯ,s,,,4,,,,
23032,姸,ŋ,en,³³,,,,,jɛn,2,,,,
23033,姹,ʈʰɰæ,,³⁵,kh‧r,a,̠ʔ,ʈʂʰ,a,4,tsʰ,a:,,˧
23034,姺,ʂ,ɪn,³³,sr,i,n,ʂ,ən,1,s,i:,n,˧˥
23035,姻,ʔ,in,³³,q,i,n,,in,1,j,ɐ,n,˥
23036,姼,dʑ,iᴇ,³⁵,ɡlj,a,lʔ,ʂ,i,2,tsʰ,i:,,˧˥
23037,姽,ŋʷɰ,iᴇ,³⁵,ŋɡr,o,̠lʔ,k,,3,kw,ɐi,,˧˥
23038,姾,dzʷ,iᴇn,³³,,,,tɕʰ,yan,2,,,,
23039,姿,ts,i,³¹,s,i,,ts,i,1,ts,i:,,˥
23040,娀,sj,uŋ,³³,sn,u,ŋ,s,ʊŋ,1,s,ʊ,ŋ,˥
23041,威,ʔʷ,ɨi,³³,q,u,l,,,1,w,ɐi,,˥
23042,娂,ɦ,uŋ,³³,,,,x,ʊŋ,2,,,,
23043,娃,ʔɰ,ɛ,³³,qr,e,̠,,wa,2,w,a:,,˥
23044,娄,,,,,,,l,oʊ,2,l,ɐu,,˩˨
23045,娅,,,,,,,,ja,4,,a:,,˧
23046,娆,,,,,,,ʐ,ɑʊ,2,j,i:u,,˩˨
23047,娇,kɰ,iᴇu,³³,,,,tɕ,jɑʊ,1,k,i:u,,˥
23048,娈,lʷ,iᴇn,³¹,,,,l,wan,2,l,y:,n,˩˧
23049,娉,pʰ,iᴇŋ,³¹,phl,e,ŋs,pʰ,iŋ,1,pʰ,ɪ,ŋ,˥
23050,娊,ɦ,en,³⁵,,,,ɕ,jɛn,4,,,,
23051,娋,ʂɰæ,u,³¹,spr,e,̠w,ʂ,ɑʊ,4,,,,
23052,娌,l,ɨ,³⁵,m,ə,r,l,i,3,l,ei,,˩˧
23053,娍,dʑ,iᴇŋ,³³,,,,ʈʂʰ,ɤŋ,2,,,,
23054,娎,hʷɰ,iᴇt̲̲,³,qh,e,̠ws,ɕ,je,4,,,,
23055,娏,mɰɔŋ,,³³,,,,m,ɑŋ,2,,,,
23056,娐,pʰj,ʊ,³³,,,,f,u,1,,,,
23057,娑,tsʰ,ɑ,³⁵,sl,a,̠l,s,uɔ,1,s,ɔ:,,˥
23058,娒,m,u̯o,³⁵,m,ɯ,ʔ,m,ei,2,,,,
23059,娓,mɰ,i,³³,m,ɯ,lʔ,,,3,m,ei,,˩˧
23060,娔,kʰ,ək̲̲,³,,,,kʰ,ɤ,4,,,,
23061,娕,,,,shr,o,̠ɡ,ʈʂʰ,uɔ,4,,,,
23062,娖,tʂʰɰɔk̲̲,,³,shr,o,̠ɡ,ʈʂʰ,uɔ,4,tsʰ,ʊ,k,˥
23063,娗,d,en,³⁵,ɡ‧l,e,̠ŋʔ,tʰ,iŋ,3,,,,
23064,娘,ɳj,aŋ,³³,,,,n,jɑŋ,2,n,œ:,ŋ,˩˨
23065,娙,kʰɰ,ɛŋ,³³,ɡ,e,̠ŋ,ɕ,iŋ,2,j,ɪ,ŋ,˩˨
23066,娚,ɳɰ,ɛm,³³,,,,n,an,2,,,,
23067,娛,ŋj,ʊ,³³,,,,,y,2,j,y:,,˩˨
23068,娜,n,ɑ,³⁵,,,,n,a,4,n,a:,,˩˨
23069,娝,pʰj,ʊ,³³,pr,ɯ,ʔ,pʰ,oʊ,1,,,,
23070,娞,sʷ,i,³³,,,,n,ei,3,,,,
23071,娟,ʔʷ,iᴇn,³³,qʷ,e,n,tɕ,yan,1,k,y:,n,˥
23072,娠,tɕ,in,³¹,plj,ɯ,ns,ʂ,ən,1,s,ɐ,n,˥
23073,娡,tɕ,ɨ,³¹,klj,ɯ,s,ʈʂ,i,4,,,,
23074,娢,ɦ,əm,³³,,,,x,an,2,,,,
23075,娣,d,ei,³⁵,ɡ‧l,i,̠ls,t,i,4,t,ɐi,,˨
23076,娤,tʂj,aŋ,³³,,,,ʈʂ,wɑŋ,1,,,,
23077,娥,ŋ,ɑ,³³,ŋ,a,̠l,,ɤ,2,ŋ,ɔ:,,˩˨
23078,娦,,,,,,,pʰ,in,2,,,,
23079,娧,tʰʷ,ɑi,³¹,l,o,d,tʰ,,4,,,,
23080,娨,mɰæn,,³⁵,,,,ɕ,jɛn,4,,,,
23081,娩,mʷj,ɤn,³⁵,mr,o,nʔ,m,jɛn,3,m,a:,n,˩˧
23082,娪,ŋ,u̯o,³¹,ŋ,a,̠,,u,2,,,,
23083,娫,j,iᴇn,³³,,,,,jɛn,2,,,,
23084,娬,mj,ʊ,³⁵,mb,a,ʔ,,u,3,,,,
23085,娭,h,ɨ,³³,q,ɯ,̠,,ai,1,,a:i,,˥
23086,娮,ŋj,ɤn,³³,,,,,jɛn,2,,,,
23087,娯,,,,,,,,y,2,,,,
23088,娰,,,,,,,s,i,4,,,,
23089,娱,ŋj,ʊ,³³,ŋɡʷ,a,,,y,2,j,y:,,˩˨
23090,娲,,,,,,,,wa,1,w,ɔ:,,˥
23091,娳,,,,,,,l,i,4,,,,
23092,娴,,,,,,,ɕ,jɛn,2,h,a:,n,˩˨
23093,娵,tʂ,ɨu,³³,sk,o,,tɕ,y,1,ts,ɐu,,˥
23094,娶,tsʰj,ʊ,³¹,skl,o,,tɕʰ,y,3,tsʰ,ɵy,,˧˥
23095,娷,dʑʷ,iᴇ,³¹,t,o,ls,ʈʂ,,4,,,,
23096,娸,kʰ,ɨ,³³,kh,ɯ,,tɕʰ,i,1,h,ei,,˥
23097,娹,ɦ,en,³³,ɡ,i,̠n,ɕ,jɛn,2,,,,
