codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
30123,疫,jʷ,i,³¹,ɢʷ,e,ɡ,,i,4,j,ɪ,k,˨
30124,疬,,,,,,,l,i,4,l,ɛ:,k,˨
30125,疭,,,,,,,ts,ʊŋ,4,ts,ʊ,ŋ,˧
30126,疮,tʂʰj,aŋ,³³,,,,ʈʂʰ,wɑŋ,1,tsʰ,ɔ:,ŋ,˥
30127,疯,,,,,,,f,ɤŋ,1,f,ʊ,ŋ,˥
30128,疰,tɕj,ʊ,³¹,,,,ʈʂ,u,4,ts,y:,,˧
30129,疱,bɰæ,u,³¹,,,,pʰ,ɑʊ,4,pʰ,a:u,,˧
30130,疲,bɰ,iᴇ,³³,br,a,l,pʰ,i,2,pʰ,ei,,˩˨
30131,疳,k,ɑm,³³,k,a,̠m,k,an,1,k,ɐ,m,˥
30132,疴,kʰɰæ,,³¹,q,a,̠l,kʰ,ɤ,1,,ɔ:,,˥
30133,疵,dz,ei,³¹,z,e,,tsʰ,i,1,tsʰ,i:,,˥
30134,疶,j,iᴇi,³¹,,,,ɕ,yɛ,1,s,i:,t,˧
30135,疷,t,ei,³⁵,,,,ʈʂ,i,1,,,,
30136,疸,t,ɑn,³⁵,t,a,̠ns,t,an,3,tʰ,a:,n,˧˥
30137,疹,tɕ,in,³⁵,klj,ɯ,nʔ,ʈʂ,ən,3,tsʰ,ɐ,n,˧˥
30138,疺,bj,ap̲̲,³,,,,f,a,2,f,ɐ,t,˨
30139,疻,tɕʰ,iᴇ,³⁵,kj,e,,ʈʂ,i,3,ts,i:,,˧˥
30140,疼,d,u̯oŋ,³³,d,ɯ,̠ŋ,tʰ,ɤŋ,2,tʰ,ɐ,ŋ,˩˨
30141,疽,tsj,ɤ,³⁵,skh,a,,tɕ,y,1,ts,ɵy,,˥
30142,疾,dz,it̲̲,³,z,i,d,tɕ,i,2,ts,ɐ,t,˨
30143,疿,pʷ,ɨi,³¹,p,ɯ,ds,f,ei,4,f,ɐi,,˧˥
30144,痀,kj,ʊ,³¹,k,o,,tɕ,y,1,kʰ,ɵy,,˥
30145,痁,ɕ,iᴇm,³³,qhlj,e,m,ʂ,an,1,t,i:,m,˧
30146,痂,kɰæ,,³³,kr,a,̠l,tɕ,ja,1,k,a:,,˥
30147,痃,ɦ,en,³³,ɡ,i,̠n,ɕ,yan,2,,,,
30148,痄,tʂɰæ,,³⁵,,,,ʈʂ,a,4,ts,a:,,˧
30149,病,bɰjæŋ,,³¹,bɡr,a,ŋʔ,p,iŋ,4,p,ɛ:,ŋ,˨
30150,痆,n,em,³⁵,,,,n,je,4,,,,
30151,症,,,,,,,ʈʂ,ɤŋ,4,ts,ɪ,ŋ,˥
30152,痈,ʔj,ʊŋ,³³,,,,,jʊŋ,1,j,ʊ,ŋ,˥
30153,痉,,,,,,,tɕ,iŋ,4,k,ɪ,ŋ,˨
30154,痊,tsʰʷ,iᴇn,³³,skh,o,n,tɕʰ,yan,2,tsʰ,y:,n,˩˨
30155,痋,ɖj,uŋ,³³,ɡ‧l,u,̠ŋ,tʰ,ɤŋ,2,,,,
30156,痌,d,uŋ,³³,,,,tʰ,ʊŋ,1,tʰ,ʊ,ŋ,˥
30157,痍,j,i,³³,l,i,,,i,2,j,i:,,˩˨
30158,痎,kɰ,ɛi,³³,kr,ɯ,̠,tɕ,je,1,k,a:i,,˥
30159,痏,ɦʲ,ɨu,³¹,ɢʷr,ɯ,ʔ,,,3,f,u:i,,˧˥
30160,痐,ɦ,u̯oi,³³,,,,x,,2,w,u:i,,˩˨
30161,痑,ɕ,iᴇ,³⁵,kh‧l,a,̠n,tʰ,an,1,,,,
30162,痒,j,aŋ,³⁵,sɢl,a,ŋ,,jɑŋ,3,j,œ:,ŋ,˩˧
30163,痓,tɕʰ,i,³¹,khlj,i,ɡs,ʈʂʰ,i,4,,,,
30164,痔,ɖ,ɨ,³⁵,ɡ‧l,ɯ,ʔ,ʈʂ,i,4,ts,i:,,˨
30165,痕,,,,ɡ,ɯ,̠n,x,ən,2,h,ɐ,n,˩˨
30166,痖,,,,,,,,ja,3,,a:,,˧˥
30167,痗,m,u̯oi,³¹,m,ɯ,̠s,m,ei,4,f,u:i,,˧
30168,痘,,,,,,,t,oʊ,4,t,ɐu,,˨
30169,痙,ɡ,iᴇŋ,³⁵,ɡ,e,ŋʔ,tɕ,iŋ,4,k,ɪ,ŋ,˨
30170,痚,hɰæ,u,³³,,,,ɕ,jɑʊ,1,h,a:u,,˥
30171,痛,tʰ,uŋ,³¹,kh‧l,o,̠ŋs,tʰ,ʊŋ,4,tʰ,ʊ,ŋ,˧
30172,痜,tʰ,uk̲̲,³,,,,tʰ,u,1,,,,
30173,痝,mɰɔŋ,,³³,mr,o,̠ŋ,m,ɑŋ,2,,,,
30174,痞,p,ɨu,³⁵,pr,ɯ,ʔ,pʰ,i,3,pʰ,ei,,˧˥
30175,痟,s,iᴇu,³³,spl,e,w,ɕ,jɑʊ,1,s,i:u,,˥
30176,痠,sʷ,ɑn,³³,sqh,o,̠n,s,wan,1,s,y:,n,˥
30177,痡,pʰj,ʊ,³³,ph,a,,f,u,1,f,u:,,˥
30178,痢,l,i,³¹,r,i,ds,l,i,4,l,ei,,˨
30179,痣,tɕ,ɨ,³¹,klj,ɯ,s,ʈʂ,i,4,ts,i:,,˧
30180,痤,dzʷ,ɑ,³³,z,o,̠l,tsʰ,uɔ,2,tsʰ,ɔ:,,˩˨
30181,痥,ʈʰʷ,iᴇt̲̲,³,ɡ‧l,o,̠d,t,uɔ,2,,,,
30182,痦,,,,,,,,u,4,ŋ,,,˩˨
30183,痧,,,,,,,ʂ,a,1,s,a:,,˥
30184,痨,l,ɑu,³³,,,,l,ɑʊ,2,l,ou,,˩˨
30185,痩,,,,,,,ʂ,oʊ,4,,,,
30186,痪,tʰʷ,ɑn,³⁵,,,,x,wan,4,w,u:,n,˨
30187,痫,ɦɰ,ɛn,³³,,,,ɕ,jɛn,2,h,a:,n,˩˨
30188,痬,ɕ,iᴇk̲̲,³,l,e,ɡ,,i,4,,,,
30189,痭,p,əŋ,³³,,,,p,ɤŋ,1,p,ɐ,ŋ,˥
30190,痮,ʈj,aŋ,³¹,,,,ʈʂ,ɑŋ,4,,,,
30191,痯,kʷ,ɑn,³¹,k,o,̠nʔ,k,wan,3,k,u:,n,˧˥
30192,痰,d,ɑm,³³,ɡ‧l,a,̠m,tʰ,an,2,tʰ,a:,m,˩˨
30193,痱,bʷ,ɨi,³³,b,ɯ,l,f,ei,4,f,ɐi,,˧˥
30194,痲,,,,,,,m,a,2,m,a:,,˩˨
30195,痳,l,im,³³,ɡ,ə,r,l,in,2,l,ɐ,m,˩˨
30196,痴,ʈʰ,ɨ,³³,,,,ʈʂʰ,i,1,tsʰ,i:,,˥
30197,痵,ɡʷ,i,³¹,ɡʷ,i,ds,tɕ,i,4,kw,ɐi,,˧
30198,痶,tʰ,en,³⁵,,,,tʰ,jɛn,3,t,i:,n,˧˥
30199,痷,ʔ,əp̲̲,³,,,,,an,1,,,,
30200,痸,tɕʰ,iᴇt̲̲,³,khj,e,ds,ʈʂʰ,i,4,,,,
30201,痹,p,i,³¹,p,i,ds,p,i,4,,,,
30202,痺,b,i,³¹,p,e,,p,i,4,p,ei,,˧
30203,痻,,,,,,,m,in,2,f,ɐ,n,˥
30204,痼,k,u̯o,³¹,k,a,̠ɡs,k,u,4,k,u:,,˧
30205,痽,,,,,,,t,,1,,,,
30206,痾,ʔ,ɑ,³³,q,a,̠l,,ɤ,1,ŋ,ɔ:,,˥
30207,痿,ʔʷɰ,iᴇ,³³,qr,o,l,,,3,w,ɐi,,˧˥
30208,瘀,ʔj,ɤ,³³,q,a,s,,y,1,j,y:,,˥
30209,瘁,dzʷ,i,³¹,z,u,ds,tsʰ,,4,s,ɵy,,˨
30210,瘂,ʔɰæ,,³⁵,,,,,ja,3,,a:,,˧˥
30211,瘃,,,,t,o,ɡ,ʈʂ,u,2,ts,ʊ,k,˥
30212,瘄,,,,,,,tsʰ,u,4,,,,
30213,瘅,d,ɑn,³³,,,,t,an,1,t,a:,n,˥
30214,瘆,,,,,,,ʂ,ən,4,,,,
30215,瘇,dʑj,ʊŋ,³⁵,ɡlj,o,ŋʔ,ʈʂ,ʊŋ,3,ts,ʊ,ŋ,˧˥
30216,瘈,kɰ,iᴇi,³¹,k,e,̠ds,ʈʂʰ,i,4,kʰ,ɐi,,˧
30217,瘉,j,ʊ,³⁵,l,o,,,y,4,j,y:,,˨
30218,瘊,ɦ,u,³³,,,,x,oʊ,2,h,ɐu,,˩˨
30219,瘋,pj,uŋ,³³,,,,f,ɤŋ,1,f,ʊ,ŋ,˥
30220,瘌,l,ɑt̲̲,³,b,ə,r,l,a,4,l,a:,t,˧
30221,瘍,d,ɑŋ,³¹,l,a,ŋ,,jɑŋ,2,j,œ:,ŋ,˩˨
30222,瘎,j,iᴇm,³³,ɡlj,u,m,ʈʂʰ,ən,2,,,,
30223,瘏,d,u̯o,³³,ɡ‧l,a,̠,tʰ,u,2,tʰ,ou,,˩˨
30224,瘐,j,ʊ,³³,l,o,ʔ,,y,3,j,y:,,˩˧
30225,瘑,kʰʷ,ɑ,³³,kl,o,̠l,k,uɔ,1,,,,
30226,瘒,ŋ,u̯on,³³,,,,,,2,,,,
30227,瘓,tʰʷ,ɑn,³⁵,,,,x,wan,4,w,u:,n,˨
30228,瘔,kʰ,u̯o,³¹,,,,kʰ,u,4,,,,
30229,瘕,ɦɰæ,,³³,kr,a,̠,tɕ,ja,3,k,a:,,˧˥
30230,瘖,ʔɰ,im,³³,qr,ɯ,m,,in,1,j,ɐ,m,˥
30231,瘗,,,,,,,,i,4,j,i:,,˧
30232,瘘,,,,,,,l,oʊ,4,l,ɐu,,˨
30233,瘙,s,ɑu,³¹,sl,u,̠s,s,ɑʊ,4,s,ou,,˧
30234,瘚,ɡʷj,ɤt̲̲,³,k,o,d,tɕ,yɛ,2,k,y:,t,˧
30235,瘛,tɕʰ,iᴇi,³¹,khj,e,d,ʈʂʰ,i,4,kʰ,ɐi,,˧
30236,瘜,s,ɨk̲̲,³,sl,ɯ,ɡ,ɕ,i,1,s,ɪ,k,˥
30237,瘝,kʷɰ,ɛn,³³,,,,k,wan,1,kw,a:,n,˥
30238,瘞,ʔ,ei,³¹,qr,e,bs,,i,4,j,i:,,˧
30239,瘟,ʔj,un,³³,,,,,,1,w,ɐ,n,˥
30240,瘠,dz,iᴇk̲̲,³,z,e,ɡ,tɕ,i,2,ts,ɪ,k,˧
30241,瘡,tʂʰʷ,ɑŋ,³³,shr,a,ŋ,ʈʂʰ,wɑŋ,1,tsʰ,ɔ:,ŋ,˥
30242,瘢,bʷ,ɑn,³³,b,a,̠n,p,an,1,p,a:,n,˥
30243,瘣,k,u̯oi,³³,ɡ,u,̠lʔ,x,,4,f,u:i,,˧
30244,瘤,l,ɨu,³³,b,ə,r,l,,2,l,ɐu,,˩˨
30245,瘥,tsjæ,,³³,s,a,l,ʈʂʰ,ai,4,tsʰ,a:i,,˧
30246,瘦,ʂ,ɨu,³¹,sr,u,s,ʂ,oʊ,4,s,ɐu,,˧
30247,瘧,ŋj,ak̲̲,³,ŋ,a,wɡ,n,yɛ,4,j,œ:,k,˨
30248,瘨,d,en,³⁵,k‧l,i,̠n,t,jɛn,1,t,i:,n,˥
30249,瘩,,,,,,,t,a,1,t,a:,p,˧
30250,瘪,b,et̲̲,³,,,,p,je,3,p,i:,t,˨
30251,瘫,,,,,,,tʰ,an,1,tʰ,a:,n,˥
30252,瘬,,,,,,,ʈʂ,ɑŋ,4,,,,
30253,瘭,p,iᴇu,³³,,,,p,jɑʊ,1,p,i:u,,˥
30254,瘮,ʂ,im,³⁵,,,,ʂ,ən,4,,,,
30255,瘯,ts,uk̲̲,³,sh,o,̠ɡ,tsʰ,u,4,tsʰ,ʊ,k,˥
30256,瘰,lʷ,ɑ,³³,r,o,̠lʔ,l,uɔ,3,l,ɔ:,,˧˥
30257,瘱,ʔ,ei,³¹,qr,e,̠bs,,i,4,j,i:,,˧
30258,瘲,tsj,ʊŋ,³¹,s,o,ŋs,ts,ʊŋ,4,ts,ʊ,ŋ,˧
30259,瘳,l,eu,³³,kh‧r,ɯ,w,ʈʂʰ,oʊ,1,tsʰ,ɐu,,˥
30260,瘴,tɕj,aŋ,³¹,,,,ʈʂ,ɑŋ,4,ts,œ:,ŋ,˧
30261,瘵,tʂɰ,ɛi,³¹,skr,e,̠ds,ʈʂ,ai,4,ts,a:i,,˧
30262,瘶,s,u,³¹,,,,s,oʊ,4,,,,
30263,瘷,s,u,³¹,,,,s,ɤ,4,,,,
30264,瘸,ɡʷj,ɑ,³³,,,,tɕʰ,yɛ,2,kʰ,ɛ:,,˩˨
30265,瘹,t,eu,³¹,,,,t,jɑʊ,4,,,,
30266,瘺,,,,,,,l,oʊ,4,l,ɐu,,˨
30267,瘻,lj,ʊ,³³,ɡ,ə,r,l,oʊ,4,l,ɐu,,˨
30268,瘼,m,ɑk̲̲,³,m,a,̠ɡ,m,uɔ,4,m,ɔ:,k,˨
30269,瘽,,,,ɡl,ɯ,nʔ,tɕʰ,in,2,kʰ,ɐ,n,˩˨
30270,瘾,,,,,,,,in,3,j,ɐ,n,˩˧
30271,瘿,,,,,,,,iŋ,3,j,ɪ,ŋ,˧˥
30272,癀,ɦʷ,ɑŋ,³³,,,,x,wɑŋ,2,w,ɔ:,ŋ,˩˨
30273,癁,bj,uk̲̲,³,,,,f,u,2,,,,
30274,療,l,iᴇu,³¹,ɡ,ə,r,l,jɑʊ,2,l,i:u,,˩˨
30275,癃,lj,uŋ,³³,ɡ,ə,r,l,ʊŋ,2,l,ʊ,ŋ,˩˨
30276,癄,ts,iᴇu,³¹,skr,e,ws,tɕʰ,jɑʊ,2,,,,
30277,癅,,,,,,,l,,2,l,ɐu,,˩˨
30278,癆,l,ɑu,³¹,ɡ,ə,r,l,ɑʊ,2,l,ou,,˩˨
30279,癇,ɦɰ,ɛn,³³,ɡr,e,̠n,ɕ,jɛn,2,h,a:,n,˩˨
30280,癈,pʷj,ai,³¹,p,a,ds,f,ei,4,f,ɐi,,˧
30281,癉,d,ɑn,³³,t,a,̠n,t,an,1,t,a:,n,˥
30282,癊,ʔɰ,im,³¹,,,,,in,4,j,ɐ,n,˧
30283,癋,,,,,,,x,ɤ,4,,,,
30284,癌,,,,,,,,ai,2,ŋ,a:,m,˩˨
30285,癍,,,,,,,p,an,1,,,,
30286,癎,,,,ɡr,e,̠n,ɕ,jɛn,2,,,,
30287,癏,kʷɰæn,,³³,,,,k,wan,1,,,,
30288,癐,kʷ,ɑi,³¹,,,,k,,4,k,u:i,,˨
30289,癑,n,u̯oŋ,³³,n,o,̠ŋs,n,ʊŋ,4,,,,
30290,癒,j,ʊ,³⁵,,,,,y,4,j,y:,,˨
30291,癓,mʷ,ɨi,³³,,,,,,2,,,,
30292,癔,ʔ,ɨk̲̲,³,,,,,i,4,,,,
30293,癕,ʔj,ʊŋ,³³,q,o,ŋ,,jʊŋ,1,,,,
30294,癖,pʰ,iᴇk̲̲,³,ph,e,̠ɡ,pʰ,i,3,pʰ,ɪ,k,˥
