codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20171,介,kɰɛi³¹,kɰ,ɛi,³¹,kr,e,̠ds
20172,仌,pɨŋ³³,p,ɨŋ,³³,pr,ɯ,ŋ
20173,仍,ȵɨŋ³³,ȵ,ɨŋ,³³,nj,ɯ,ŋ
20174,从,dzjʊŋ³³,dzj,ʊŋ,³³,z,o,ŋ
20175,仏,,,,,,,
20176,仐,,,,,,,
20177,仑,,,,,,,
20178,仒,,,,,,,
20179,仓,tsʰɑŋ³³,tsʰ,ɑŋ,³³,,,
20180,仔,tsɨ³⁵,ts,ɨ,³⁵,sk,ɯ,ʔ
20181,仕,dʑɨ³⁵,dʑ,ɨ,³⁵,zr,ɯ,ʔ
20182,他,dɑ³¹,d,ɑ,³¹,l̥,a,̠l
20183,仗,ɖjaŋ³¹,ɖj,aŋ,³¹,d,a,ŋʔ
20184,付,pjʊ³¹,pj,ʊ,³¹,p,o,s
20185,仙,siᴇn³⁵,s,iᴇn,³⁵,sl,e,n
20186,仚,hɰiᴇn³³,hɰ,iᴇn,³³,qhr,e,n
20187,仛,ʈɰæk³̲³̲,ʈɰæk̲̲,,³,ɡ‧l,a,̠ɡ
20188,仜,ɦuŋ³³,ɦ,uŋ,³³,ɡ,o,̠ŋ
20189,仝,duŋ³³,d,uŋ,³³,sɡ,o,n
20190,仞,ȵin³¹,ȵ,in,³¹,nj,ɯ,ns
20191,仟,tsʰen³³,tsʰ,en,³³,sn̥,i,̠n
20192,仠,ɦɑn³¹,ɦ,ɑn,³¹,,,
20193,仡,ŋɨt³̲³̲,ŋ,ɨt̲̲,³,qh,ɯ,d
20194,仢,ʑjak³̲³̲,ʑj,ak̲̲,³,blj,e,wɡ
20195,代,dəi³¹,d,əi,³¹,l,ɯ,̠ɡs
20196,令,liᴇŋ³¹,l,iᴇŋ,³¹,ɡ,ə,r
20197,以,jɨ³⁵,j,ɨ,³⁵,ɢl,ɯ,ʔ
20198,仦,,,,,,,
20199,仧,ʈjaŋ³⁵,ʈj,aŋ,³⁵,,,
20200,仨,,,,,,,
20201,仩,,,,,,,
20202,仪,ŋɰiᴇ³³,ŋɰ,iᴇ,³³,,,
20203,仫,,,,,,,
20204,们,,,,,,,
20205,仭,,,,,,,
20206,仮,pʷjɤn³⁵,pʷj,ɤn,³⁵,p,a,nʔ
20207,仯,tʂʰɰæu³¹,tʂʰɰæ,u,³¹,,,
20208,仰,ŋjaŋ³⁵,ŋj,aŋ,³⁵,ŋ,a,ŋs
20209,仱,kɨŋ³³,k,ɨŋ,³³,,,
20210,仲,ɖjuŋ³¹,ɖj,uŋ,³¹,ɡ‧l,u,ŋs
20211,仳,bɰi³⁵,bɰ,i,³⁵,ph,e,ʔ
20212,仴,,,,,,,
20213,仵,ŋu̯o³¹,ŋ,u̯o,³¹,ŋ,a,̠ʔ
20214,件,ɡɰiᴇn³⁵,ɡɰ,iᴇn,³⁵,ɡr,a,nʔ
